original_title,start_year,runtime_mins,genre,average_rating,num_votes
The Babymakers,2012,95.0,Comedy,5.0,8147
Electric Slide,2014,95.0,"Action,Biography,Crime",4.6,701
Krystal,2017,90.0,"Comedy,Drama",5.3,846
Pee-wee's Big Holiday,2016,90.0,"Adventure,Comedy,Family",6.2,6362
Approaching Midnight,2013,86.0,"Crime,Drama,Romance",5.0,239
Hotel Transylvania,2012,91.0,"Animation,Comedy,Family",7.1,204571
Pet Sematary,2019,101.0,"Horror,Mystery,Thriller",6.0,34472
Bhopal: A Prayer for Rain,2014,96.0,Drama,7.3,1830
Everyday Sunshine: The Story of Fishbone,2010,107.0,"Documentary,Music",7.6,321
The Town,2010,125.0,"Crime,Drama,Thriller",7.6,322524
Whatever Happened to Pete Blaggit?,2012,94.0,"Comedy,Sci-Fi",6.6,50
The Kids Are All Right,2010,106.0,"Comedy,Drama,Romance",7.0,120656
The Fallen Word,2013,60.0,"Drama,Fantasy,Mystery",7.4,35
Ivan Mosjoukine ou L'enfant du carnaval,2016,67.0,Documentary,9.0,5
Killer by Nature,2010,94.0,"Adventure,Crime,Drama",3.9,257
Pox,2011,100.0,"Comedy,Sci-Fi",7.5,56
Hoodwinked Too! Hood vs. Evil,2011,86.0,"Animation,Comedy,Crime",4.8,11281
Gangster Exchange,2010,95.0,Action,4.6,436
Loot,2011,110.0,"Action,Comedy,Crime",3.6,278
Neowolf,2010,88.0,"Horror,Thriller",2.3,418
The Speed of Thought,2011,93.0,"Sci-Fi,Thriller",4.8,1503
The Avengers,2012,143.0,"Action,Adventure,Sci-Fi",8.1,1183655
Epic,2013,102.0,"Adventure,Animation,Family",6.7,95318
Travis,2016,98.0,"Horror,Sci-Fi,Thriller",3.8,747
Amsteroid,2018,98.0,Sci-Fi,5.6,13
Jack & Diane,2012,110.0,"Drama,Horror,Romance",4.5,2538
Jackson Arms,2015,90.0,Romance,6.1,15
Risen,2010,121.0,"Biography,Drama",5.3,182
Sir Billi,2012,76.0,"Adventure,Animation,Comedy",4.2,445
Naked Run,2011,84.0,Comedy,5.2,72
This Is What Love in Action Looks Like,2011,74.0,Documentary,6.8,198
Kolorádó Kid,2010,111.0,"Drama,Romance",6.0,135
The Sweeney,2012,112.0,"Action,Crime,Drama",6.1,18095
2001 Maniacs: Field of Screams,2010,84.0,"Comedy,Horror",3.3,2141
Bolden,2019,108.0,Drama,5.4,202
Immortal Island,2011,84.0,"Adventure,Horror,Thriller",5.6,87
Wide Blue Yonder,2010,82.0,"Comedy,Drama",5.7,69
Super Troopers 2,2018,99.0,"Comedy,Crime,Mystery",6.1,20104
Evangerion shin gekijôban: Kyu,2012,96.0,"Action,Animation,Drama",7.0,8215
Zenitram,2010,103.0,"Action,Adventure,Comedy",4.7,91
Rupan sansei,2014,133.0,"Action,Adventure,Comedy",5.6,1288
Dukun,2018,108.0,"Horror,Thriller",6.9,307
Mr. Peabody & Sherman,2014,92.0,"Adventure,Animation,Comedy",6.8,57277
Letting Go,2012,83.0,"Drama,Romance",6.5,75
6 Month Rule,2011,100.0,Comedy,4.9,595
Katharsis,2011,89.0,Mystery,6.6,11
"Surprise, Surprise",2010,83.0,Drama,4.9,162
My Soul to Take,2010,107.0,"Horror,Mystery,Thriller",4.8,18381
Red State,2011,88.0,"Action,Crime,Horror",6.2,59266
Beijing Taxi,2010,78.0,Documentary,6.8,55
The Secret Philosophy,2010,90.0,Thriller,7.6,15
Rift,2011,100.0,"Horror,Thriller",2.7,404
Bury the Hatchet,2010,120.0,Documentary,8.6,14
Bulletface,2010,82.0,Thriller,5.8,875
First Circle,2010,72.0,Documentary,7.0,33
Jewtopia,2012,90.0,"Comedy,Romance",4.5,1342
Please Give,2010,87.0,"Comedy,Drama",6.6,10652
Harm's Way,2010,82.0,Thriller,5.3,250
Eat Pray Love,2010,133.0,"Drama,Romance",5.8,77709
Mama I Want to Sing,2011,100.0,Musical,5.0,282
Sanctum,2011,108.0,"Adventure,Drama,Thriller",5.9,51318
AIR: The Musical,2010,100.0,"Comedy,Musical,Romance",7.2,59
Snitch,2013,112.0,"Action,Drama,Thriller",6.5,78142
Wreckage,2010,87.0,"Horror,Thriller",4.3,1045
Legends of Oz: Dorothy's Return,2013,88.0,"Adventure,Animation,Family",5.5,5351
The Wedding Ringer,2015,101.0,Comedy,6.7,66893
Hyenas,2011,92.0,Horror,2.8,952
Repo,2010,97.0,"Comedy,Drama",4.5,215
Rollerboy,2013,81.0,Documentary,8.3,13
Kavod,2010,118.0,"Crime,Drama,Thriller",5.6,29
The Switch,2010,101.0,"Comedy,Drama,Romance",6.1,90661
Hamlet A.D.D.,2014,95.0,"Animation,Comedy,Fantasy",7.1,78
Gun of the Black Sun,2011,90.0,Fantasy,6.1,68
Letters to Juliet,2010,105.0,"Adventure,Comedy,Drama",6.6,86137
How to Train Your Dragon,2010,98.0,"Action,Adventure,Animation",8.1,611299
Shrek Forever After,2010,93.0,"Adventure,Animation,Comedy",6.3,167532
Blur,2011,90.0,"Drama,Mystery,Thriller",7.0,33
From Prada to Nada,2011,107.0,"Comedy,Drama,Romance",5.6,13644
The Whistleblower,2010,112.0,"Action,Biography,Crime",7.2,29826
Don't Fade Away,2010,89.0,Drama,5.4,302
The Key Man,2011,80.0,"Crime,Drama,Thriller",5.6,263
Suite Française,2014,107.0,"Drama,Romance,War",7.0,19978
Psych:9,2010,98.0,"Horror,Mystery,Thriller",4.5,2072
Westbrick Murders,2010,90.0,"Action,Crime,Thriller",2.7,351
The Hobbit: An Unexpected Journey,2012,169.0,"Adventure,Family,Fantasy",7.9,719629
Love & Mercy,2014,121.0,"Biography,Drama,Music",7.4,32238
The Thing,2011,103.0,"Horror,Mystery,Sci-Fi",6.2,111900
The Grind,2012,85.0,"Crime,Thriller",2.8,281
Black Butterflies,2011,100.0,"Biography,Drama",6.2,1941
Proie,2010,90.0,"Adventure,Drama,Horror",5.3,840
Eager to Die,2010,109.0,"Drama,Thriller",5.0,13
Exposed,2012,82.0,"Drama,Mystery,Thriller",6.6,44
A Merry Friggin' Christmas,2014,88.0,Comedy,5.1,5415
Movin' In,2010,95.0,"Comedy,Romance",7.0,41
House Under Siege,2010,78.0,"Action,Thriller",4.0,82
Unthinkable,2010,97.0,"Crime,Drama,Thriller",7.1,80152
Jackboots on Whitehall,2010,91.0,"Animation,Comedy,Sci-Fi",5.3,1178
Victim,2010,90.0,"Horror,Thriller",6.0,4113
The Legend of Tarzan,2016,110.0,"Action,Adventure,Drama",6.3,150154
De gelukkige huisvrouw,2010,100.0,"Comedy,Drama,Romance",6.7,2642
The Dead Undead,2010,89.0,"Action,Horror,Sci-Fi",3.0,791
Truth About Kerry,2010,84.0,"Drama,Mystery,Thriller",5.5,217
Pizza with Bullets,2010,99.0,Comedy,8.3,36
Harry Potter and the Deathly Hallows: Part 1,2010,146.0,"Adventure,Fantasy,Mystery",7.7,425530
Road to Red,2016,120.0,"Action,Adventure,Horror",6.7,369
White Men Can't Dance,2012,105.0,"Drama,Family",4.3,46
The Penthouse,2010,89.0,Comedy,3.7,1345
Deep Gold,2011,86.0,Action,3.3,315
The Man in the Silo,2016,55.0,Drama,5.6,116
June 9,2018,95.0,"Horror,Mystery,Thriller",4.6,317
"Glenn, the Flying Robot",2010,85.0,"Drama,Sci-Fi",3.8,299
The Waiter,2010,92.0,"Action,Crime,Drama",6.4,221
Rabbit Hole,2010,91.0,Drama,7.0,45357
Joe Dick,2017,96.0,Comedy,5.5,27
Tsvetok dyavola,2010,90.0,"Mystery,Romance",1.7,201
The Last Airbender,2010,103.0,"Action,Adventure,Family",4.1,137734
Freaky Deaky,2012,90.0,"Comedy,Crime,Thriller",6.1,6088
Silent Hill: Revelation,2012,95.0,Horror,5.0,56832
Arthur 3: la guerre des deux mondes,2010,101.0,"Adventure,Animation,Family",5.5,7162
White Knuckles,2010,88.0,"Drama,Thriller",6.3,77
Salt,2010,100.0,"Action,Mystery,Thriller",6.4,277204
Source Code,2011,93.0,"Action,Drama,Sci-Fi",7.5,452036
Black Swan,2010,108.0,"Drama,Thriller",8.0,648854
Green Zone,2010,115.0,"Action,Drama,Thriller",6.8,122132
The Amazing Spider-Man,2012,136.0,"Action,Adventure,Sci-Fi",7.0,525632
Coffee Sex You,2014,88.0,Drama,6.5,11
The Killer Inside Me,2010,109.0,"Crime,Drama,Horror",6.1,31727
Robin Hood,2010,140.0,"Action,Adventure,Drama",6.6,239480
Reach Me,2014,95.0,"Comedy,Crime,Drama",4.9,2304
Nine Dead,2010,98.0,"Crime,Drama,Horror",5.5,11358
Heart of Now,2010,90.0,Drama,6.9,83
Beautiful Darling,2010,85.0,Documentary,7.3,499
Private Security Officer: Los Angeles,2010,84.0,"Action,Comedy,Crime",7.0,15
"Truth in Numbers? Everything, According to Wikipedia",2010,85.0,Documentary,7.0,109
Avenge,2014,88.0,Drama,7.4,14
Un monstre à Paris,2011,90.0,"Adventure,Animation,Comedy",6.7,18254
Dom Solntsa,2010,110.0,Drama,6.5,559
Made in Romania,2010,95.0,Comedy,5.3,231
Feast of the Assumption: The Otero Family Murders,2010,86.0,"Crime,Documentary",6.0,215
The Sorcerer's Apprentice,2010,109.0,"Action,Adventure,Family",6.1,143862
The Fighter,2010,116.0,"Biography,Drama,Sport",7.8,316539
Pushin' Up Daisies,2010,87.0,Comedy,8.1,20
Have You Heard from Johannesburg: Hell of a Job,2010,57.0,Documentary,7.4,9
Have You Heard from Johannesburg: Road to Resistance,2010,65.0,Documentary,7.0,10
L'imbroglio nel lenzuolo,2010,105.0,"Comedy,Romance",5.0,103
The Conspirator,2010,122.0,"Crime,Drama,History",6.9,26416
Saxána a Lexikon kouzel,2011,90.0,"Animation,Comedy,Family",3.5,154
Strange Frame: Love & Sax,2012,98.0,"Animation,Crime,Music",7.0,1498
White Wall,2010,91.0,"Action,Mystery,Sci-Fi",3.8,586
Hugo,2011,126.0,"Adventure,Drama,Family",7.5,284869
Little Fockers,2010,98.0,"Comedy,Romance",5.5,99222
The Chosen One,2010,101.0,"Comedy,Drama",4.5,2394
