release_date,title,prod_budget,domestic_gross,worldwide_gross,start_year,runtime_mins,genre,average_rating,num_votes
2010-07-14,The Sorcerer's Apprentice,160000000,63150991,217986320,2010,109.0,"Action,Adventure,Family",6.1,143862
2016-06-10,Warcraft,160000000,47225655,425522281,2016,123.0,"Action,Adventure,Fantasy",6.9,225557
2016-09-30,Deepwater Horizon,156000000,61433527,122603824,2016,107.0,"Action,Drama,History",7.1,133303
2010-12-10,The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000,104386950,418186950,2010,113.0,"Adventure,Family,Fantasy",6.3,129663
2018-03-23,Pacific Rim: Uprising,155000000,59874525,290930148,2018,111.0,"Action,Adventure,Sci-Fi",5.6,89462
2017-07-14,War for the Planet of the Apes,152000000,146880162,489592267,2017,140.0,"Action,Adventure,Drama",7.5,201943
2017-06-02,Wonder Woman,150000000,412563408,821133378,2014,60.0,Sci-Fi,4.2,20
2013-11-22,Frozen,150000000,400738009,1272469910,2010,93.0,"Adventure,Drama,Sport",6.2,62311
2016-03-04,Zootopia,150000000,341268248,1019429616,2016,108.0,"Adventure,Animation,Comedy",8.0,383446
2016-11-23,Moana,150000000,248757044,637517365,2016,107.0,"Adventure,Animation,Comedy",7.6,224253
2013-11-08,Thor: The Dark World,150000000,206362140,644602516,2013,112.0,"Action,Adventure,Fantasy",6.9,540996
2017-07-21,Dunkirk,150000000,190068280,499837368,2017,106.0,"Action,Drama,History",7.9,466580
2011-05-06,Thor,150000000,181030624,449326618,2011,115.0,"Action,Adventure,Fantasy",7.0,683264
2011-05-26,Kung Fu Panda 2,150000000,165249063,664837547,2011,90.0,"Action,Adventure,Animation",7.2,228465
2015-05-15,Mad Max: Fury Road,150000000,153636354,370098020,2015,120.0,"Action,Adventure,Sci-Fi",8.1,780910
2018-03-29,Ready Player One,150000000,137690172,579290136,2018,140.0,"Action,Adventure,Sci-Fi",7.5,301660
2010-07-01,The Last Airbender,150000000,131772187,319713881,2010,103.0,"Action,Adventure,Family",4.1,137734
2012-03-30,Wrath of the Titans,150000000,83670083,305270083,2012,99.0,"Action,Adventure,Fantasy",5.7,172330
2012-05-11,Dark Shadows,150000000,79727149,238202668,2012,113.0,"Comedy,Fantasy,Horror",6.2,229818
2013-06-28,White House Down,150000000,73103784,205440387,2013,131.0,"Action,Drama,Thriller",6.4,191791
2010-02-12,The Wolfman,150000000,62189884,142634358,2010,103.0,"Drama,Fantasy,Horror",5.8,97873
2017-02-17,The Great Wall,150000000,45157105,334486852,2016,103.0,"Action,Adventure,Fantasy",6.0,111602
2015-10-09,Pan,150000000,35088320,151525973,2015,111.0,"Adventure,Comedy,Family",5.8,55867
