release_date,title,prod_budget,worldwide_gross,genre,average_rating,ROI,release_year,season_released
2017-08-11,Annabelle: Creation,15000000,305384865,Mystery,6.5,19.358991,2017,Summer
2017-08-11,Annabelle: Creation,15000000,305384865,Thriller,6.5,19.358991,2017,Summer
2014-11-28,The Imitation Game,15000000,227740463,Biography,8.0,14.182697533333334,2014,Fall
2014-11-28,The Imitation Game,15000000,227740463,Thriller,8.0,14.182697533333334,2014,Fall
2007-08-31,Halloween,15000000,77514401,Horror,6.6,4.167626733333333,2007,Summer
2007-08-31,Halloween,15000000,77514401,Thriller,6.6,4.167626733333333,2007,Summer
2012-02-03,The Woman in Black,15000000,128955898,Horror,6.4,7.597059866666667,2012,Winter
2018-08-10,BlacKkKlansman,15000000,93017335,Biography,7.5,5.201155666666667,2018,Summer
2013-02-22,Snitch,15000000,57907734,Thriller,6.5,2.8605156,2013,Winter
2015-12-04,Krampus,15000000,61788393,Horror,6.2,3.1192262,2015,Winter
2014-12-03,Wild,15000000,52460543,Biography,7.1,2.4973695333333334,2014,Winter
2014-11-07,The Theory of Everything,15000000,123327692,Biography,7.7,7.221846133333333,2014,Fall
2011-09-16,Drive,15000000,81357930,Documentary,6.3,4.423862,2011,Fall
2018-11-23,The Favourite,15000000,94113929,Biography,7.6,5.274261933333333,2018,Fall
2014-08-27,The November Man,15000000,34820335,Thriller,6.3,1.3213556666666666,2014,Summer
2013-03-29,The Place Beyond the Pines,15000000,47011449,Thriller,7.3,2.1340966,2013,Spring
2014-07-25,A Most Wanted Man,15000000,36068890,Thriller,6.8,1.4045926666666666,2014,Summer
2019-02-01,Miss Bala,15000000,15362298,Thriller,6.5,0.0241532,2019,Winter
2012-11-30,Killing Them Softly,15000000,39238443,Thriller,6.2,1.6158962,2012,Fall
